Date,Rainfall_mm,Runoff_Volume_m3,Peak_Flow_m3s,Duration_h,Waterlogging_Depth_cm,Soil_Moisture_pct,Infiltration_Rate_mm_h,Impervious_Surface_pct,Drainage_Density_km_km2,Observed_Runoff_m3s,Predicted_Runoff_m3s,Forecast_Error_pct
2023-01-04 13:00:00,2.65,422.07,0.635,4,13.46,44.93,8.34,10.51,0.666,1.727,1.581,-8.45
2023-01-04 14:00:00,1.67,376.83,0.233,3,9.84,19.05,18.86,53.2,0.196,1.094,0.987,-9.78
2023-01-04 15:00:00,9.58,381.73,0.208,2,13.23,35.35,39.41,50.07,0.821,0.789,0.756,-4.18
2023-01-04 16:00:00,10.13,425.39,0.329,1,7.28,41.78,33.3,21.3,1.102,0.571,0.515,-9.81
2023-01-04 17:00:00,14.47,366.45,1.203,2,8.13,18.25,10.6,21.43,0.203,0.876,0.829,-5.37
2023-01-04 18:00:00,12.18,285.98,1.865,3,13.79,41.79,14.72,45.88,0.39,1.08,1.063,-1.57
2023-01-04 19:00:00,10.4,201.76,1.044,2,13.5,20.83,16.54,54.54,1.093,1.518,1.403,-7.58
2023-01-04 20:00:00,4.67,472.72,1.702,6,6.72,44.17,27.76,61.97,0.413,0.33,0.304,-7.88
2023-01-04 21:00:00,9.92,174.45,0.947,5,4.12,19.84,31.49,60.39,0.819,0.521,0.562,7.87
2023-01-04 22:00:00,10.37,430.79,1.446,3,5.9,43.37,31.23,67.72,0.688,0.821,0.835,1.71
2023-01-04 23:00:00,4.52,178.33,1.491,2,5.82,11.87,22.85,42.79,0.756,0.785,0.853,8.66
2023-01-05 00:00:00,27.11,393.93,0.431,1,4.3,34.82,33.38,64.06,0.557,0.844,0.818,-3.08
2023-01-05 01:00:00,11.78,460.89,0.786,2,4.03,28.62,20.3,57.55,0.43,1.608,1.665,3.54
2023-01-05 02:00:00,3.49,170.29,1.311,1,12.92,26.73,9.34,63.15,0.153,0.716,0.674,-5.87
2023-01-05 03:00:00,14.52,82.97,0.234,5,1.05,17.82,24.76,5.76,0.919,1.054,1.079,2.37
2023-01-05 04:00:00,16.23,122.04,0.787,2,10.16,34.7,38.33,67.78,0.921,1.285,1.19,-7.39
2023-01-05 05:00:00,11.29,383.3,1.116,7,2.59,16.68,32.75,35.78,0.838,0.541,0.487,-9.98
2023-01-05 06:00:00,6.85,517.2,1.993,7,5.17,29.35,25.25,56.88,0.808,1.466,1.593,8.66
2023-01-05 07:00:00,4.35,74.75,1.002,5,0.92,18.86,27.64,13.27,0.368,1.14,1.153,1.14
2023-01-05 08:00:00,7.85,453.78,1.651,3,4.05,43.45,37.57,30.74,0.125,0.949,1.03,8.54
2023-01-05 09:00:00,10.74,237.73,0.921,1,11.53,11.0,19.99,22.64,0.99,1.639,1.585,-3.29
2023-01-05 10:00:00,8.42,313.19,1.613,7,13.28,16.99,16.6,23.96,0.64,0.563,0.544,-3.37
2023-01-05 11:00:00,21.68,560.87,1.231,6,3.32,18.48,39.2,13.01,0.438,1.778,1.743,-1.97
2023-01-05 12:00:00,13.06,232.58,1.785,3,6.95,24.49,35.22,57.37,0.212,1.166,1.214,4.12
2023-01-05 13:00:00,3.93,305.94,0.881,1,7.05,18.15,16.31,5.6,0.169,1.257,1.274,1.35
2023-01-05 14:00:00,3.16,57.53,1.248,5,13.1,27.2,21.23,25.31,0.484,1.763,1.913,8.51
2023-01-05 15:00:00,11.85,94.88,1.297,7,11.44,40.54,19.53,16.34,0.985,1.653,1.496,-9.5
2023-01-05 16:00:00,6.97,192.23,0.893,4,7.7,34.92,10.22,43.29,1.111,1.243,1.295,4.18
2023-01-05 17:00:00,13.84,65.32,0.374,2,10.06,30.3,38.52,21.53,1.086,1.531,1.479,-3.4
2023-01-05 18:00:00,11.78,397.26,0.278,5,12.71,13.12,19.15,21.83,1.112,0.923,0.864,-6.39
2023-01-05 19:00:00,7.87,284.52,0.132,1,0.14,34.29,35.64,36.74,1.098,1.14,1.142,0.18
2023-01-05 20:00:00,3.98,351.48,1.76,1,6.04,15.82,11.63,47.42,0.68,0.218,0.218,0.0
2023-01-05 21:00:00,1.88,146.06,0.549,1,13.61,37.52,24.18,12.88,0.341,0.271,0.251,-7.38
2023-01-05 22:00:00,9.79,212.76,0.502,1,11.1,18.75,5.84,16.41,0.978,1.676,1.576,-5.97
2023-01-05 23:00:00,2.6,415.1,1.498,2,8.14,24.6,31.75,21.07,0.335,0.213,0.209,-1.88
2023-01-06 00:00:00,3.83,580.92,0.708,3,7.94,22.27,25.33,68.29,0.394,0.422,0.414,-1.9
2023-01-06 01:00:00,9.37,77.73,1.061,6,5.22,40.06,26.9,30.81,0.357,1.612,1.553,-3.66
2023-01-06 02:00:00,8.71,539.71,0.409,4,7.81,14.43,6.81,43.93,0.666,0.102,0.095,-6.86
2023-01-06 03:00:00,2.92,367.28,1.924,2,9.83,29.8,12.39,20.7,0.454,0.637,0.574,-9.89
2023-01-06 04:00:00,17.46,360.16,1.718,1,6.28,14.97,7.6,36.88,0.27,1.21,1.324,9.42
2023-01-06 05:00:00,17.15,325.15,1.741,2,10.71,34.67,15.11,9.82,0.598,1.231,1.34,8.85
2023-01-06 06:00:00,12.12,88.17,0.873,5,12.92,41.68,26.96,7.26,1.061,1.577,1.572,-0.32
2023-01-06 07:00:00,12.11,99.43,1.548,6,2.32,25.21,24.82,35.47,0.728,1.061,1.166,9.9
2023-01-06 08:00:00,12.12,380.5,0.373,1,6.77,27.08,26.43,30.91,1.066,1.068,1.105,3.46
2023-01-06 09:00:00,16.13,237.53,0.116,4,6.12,42.46,24.22,13.9,0.315,1.478,1.351,-8.59
2023-01-06 10:00:00,13.28,554.5,0.138,1,10.31,28.23,14.56,49.69,0.284,1.047,0.967,-7.64
2023-01-06 11:00:00,4.27,273.62,1.215,6,3.75,27.07,13.56,69.54,0.733,1.256,1.361,8.36
2023-01-06 12:00:00,6.9,128.8,0.965,4,9.6,30.24,9.8,30.72,0.61,1.806,1.853,2.6
2023-01-06 13:00:00,33.98,443.1,1.084,6,13.16,34.12,34.72,45.6,0.826,0.863,0.922,6.84
2023-01-06 14:00:00,1.16,211.34,0.114,4,6.27,13.74,26.58,67.59,0.974,0.832,0.898,7.93
2023-01-06 15:00:00,5.64,339.01,0.903,3,13.67,38.74,11.53,59.05,0.926,0.107,0.106,-0.93
2023-01-06 16:00:00,17.52,433.81,1.464,7,14.9,25.24,11.2,35.13,1.136,1.266,1.152,-9.0
2023-01-06 17:00:00,4.52,545.15,0.941,3,1.59,12.53,35.56,52.94,0.538,0.157,0.147,-6.37
2023-01-06 18:00:00,13.53,485.71,1.491,2,3.5,37.52,31.0,13.33,0.327,1.058,0.966,-8.7
2023-01-06 19:00:00,8.63,422.0,0.543,2,14.26,23.19,28.08,38.29,0.706,1.628,1.527,-6.2
2023-01-06 20:00:00,4.8,423.8,1.645,4,14.37,13.51,19.24,23.14,0.222,1.145,1.125,-1.75
2023-01-06 21:00:00,0.91,570.26,1.218,1,1.47,32.18,14.17,15.48,0.418,0.612,0.565,-7.68
2023-01-06 22:00:00,9.6,212.7,0.5,7,0.22,40.8,39.28,32.71,0.329,1.594,1.488,-6.65
2023-01-06 23:00:00,4.19,50.61,0.55,5,2.42,41.07,32.9,13.52,0.536,0.612,0.605,-1.14
2023-01-07 00:00:00,7.61,199.58,1.293,5,14.94,43.52,15.56,50.43,0.222,1.493,1.445,-3.22
2023-01-07 01:00:00,12.04,169.84,1.677,1,2.7,40.37,34.66,34.66,0.135,1.259,1.251,-0.64
2023-01-07 02:00:00,15.26,414.01,0.89,1,7.54,10.07,31.56,39.52,0.822,0.423,0.417,-1.42
2023-01-07 03:00:00,5.63,398.54,0.591,3,12.73,23.31,15.4,14.51,0.771,1.82,1.873,2.91
2023-01-07 04:00:00,4.79,376.4,1.747,5,0.31,38.65,19.93,14.09,0.879,0.481,0.523,8.73
2023-01-07 05:00:00,2.56,58.93,1.372,4,9.07,22.82,11.51,42.92,0.826,1.98,1.825,-7.83
2023-01-07 06:00:00,15.77,450.83,0.951,6,4.16,31.05,8.89,69.03,0.226,0.114,0.105,-7.89
2023-01-07 07:00:00,30.91,227.94,1.027,2,12.94,31.22,30.3,11.26,0.42,0.601,0.643,6.99
2023-01-07 08:00:00,16.93,415.78,0.488,6,4.25,22.78,14.36,23.57,0.242,0.48,0.481,0.21
2023-01-07 09:00:00,19.48,356.12,1.291,3,10.3,41.66,33.7,61.51,1.027,0.127,0.134,5.51
2023-01-07 10:00:00,4.55,238.5,0.782,5,10.11,27.61,39.85,9.7,0.922,1.491,1.406,-5.7
2023-01-07 11:00:00,11.54,124.02,1.992,7,3.32,26.27,7.68,61.93,0.322,1.418,1.511,6.56
2023-01-07 12:00:00,14.4,101.93,1.012,1,0.52,44.91,21.56,39.08,0.475,1.605,1.741,8.47
2023-01-07 13:00:00,3.32,507.34,1.023,7,6.14,27.27,33.07,31.54,1.163,0.588,0.604,2.72
2023-01-07 14:00:00,23.94,555.12,1.175,7,4.34,16.24,32.61,25.13,0.754,0.944,0.87,-7.84
2023-01-07 15:00:00,2.09,407.38,1.842,5,12.13,27.96,31.6,24.31,0.981,1.352,1.459,7.91
2023-01-07 16:00:00,21.53,106.89,1.622,4,12.01,38.49,17.21,24.88,0.391,0.936,0.991,5.88
2023-01-07 17:00:00,2.08,271.11,0.957,3,6.86,37.19,20.88,62.51,0.331,1.425,1.497,5.05
2023-01-07 18:00:00,3.47,450.92,1.466,1,9.1,37.6,25.82,52.05,0.962,1.305,1.184,-9.27
2023-01-07 19:00:00,11.69,478.9,1.214,6,9.06,34.78,39.09,48.53,0.854,0.318,0.337,5.97
2023-01-07 20:00:00,8.79,115.02,1.035,4,12.41,18.9,16.46,56.92,0.849,1.584,1.469,-7.26
2023-01-07 21:00:00,6.09,50.02,0.465,6,6.38,40.17,37.31,21.71,0.708,1.469,1.387,-5.58
2023-01-07 22:00:00,23.34,441.68,0.981,2,4.13,41.27,14.43,45.17,0.72,1.346,1.367,1.56
2023-01-07 23:00:00,2.62,246.13,0.567,3,3.98,16.8,39.62,34.9,0.909,0.395,0.376,-4.81
2023-01-08 00:00:00,7.39,189.96,1.838,4,8.04,14.57,28.46,55.86,0.397,0.609,0.629,3.28
2023-01-08 01:00:00,12.74,57.09,0.737,4,6.74,44.15,21.22,25.1,0.488,0.847,0.865,2.13
2023-01-08 02:00:00,10.28,347.16,1.909,6,6.6,40.39,26.47,46.81,1.059,0.632,0.582,-7.91
2023-01-08 03:00:00,4.93,518.13,1.113,1,1.37,41.26,14.54,62.34,0.44,0.533,0.55,3.19
2023-01-08 04:00:00,5.08,576.7,1.3,2,10.78,41.02,14.6,31.14,0.701,1.63,1.768,8.47
2023-01-08 05:00:00,15.11,361.16,1.132,6,3.21,28.96,8.97,9.33,0.873,1.313,1.224,-6.78
2023-01-08 06:00:00,15.59,332.95,0.346,4,2.95,32.62,8.99,38.54,1.2,1.174,1.197,1.96
2023-01-08 07:00:00,10.48,96.78,0.814,3,6.19,29.09,17.17,27.49,0.579,0.529,0.512,-3.21
2023-01-08 08:00:00,4.05,351.88,0.288,4,3.42,11.79,31.7,48.69,0.571,1.844,1.829,-0.81
2023-01-08 09:00:00,5.22,258.99,1.284,5,8.76,36.09,26.28,66.82,1.027,0.463,0.443,-4.32
2023-01-08 10:00:00,8.2,383.92,0.949,3,5.57,27.69,8.59,36.56,0.986,1.61,1.563,-2.92
2023-01-08 11:00:00,9.11,263.8,1.578,3,6.73,32.67,34.83,35.3,0.904,1.937,1.755,-9.4
2023-01-08 12:00:00,12.39,182.16,0.519,4,8.06,27.59,26.05,47.55,0.61,1.481,1.624,9.66
2023-01-08 13:00:00,7.1,102.23,0.413,1,3.05,27.21,38.63,11.73,0.456,1.986,2.036,2.52
2023-01-08 14:00:00,14.88,223.21,0.872,3,2.34,16.01,28.46,21.48,0.77,1.337,1.337,0.0
2023-01-08 15:00:00,14.76,103.15,1.861,5,13.21,19.75,11.13,64.73,1.064,0.513,0.501,-2.34
2023-01-08 16:00:00,19.92,147.29,1.45,6,6.51,15.56,21.58,48.55,1.072,0.487,0.491,0.82
2023-01-08 17:00:00,8.47,593.03,0.896,1,6.18,16.85,27.7,5.87,0.219,0.717,0.7,-2.37
2023-01-08 18:00:00,10.61,294.26,1.083,1,0.53,44.05,5.99,18.3,0.571,0.114,0.111,-2.63
2023-01-08 19:00:00,7.52,342.53,0.26,1,7.47,15.36,5.52,49.38,0.611,1.395,1.385,-0.72
2023-01-08 20:00:00,4.09,530.49,1.971,3,8.31,19.42,9.53,54.69,1.175,0.61,0.583,-4.43
2023-01-08 21:00:00,30.45,597.56,1.366,1,8.38,30.67,13.81,59.59,0.846,1.649,1.543,-6.43
2023-01-08 22:00:00,18.27,370.49,0.642,4,10.61,31.36,20.03,23.99,0.548,0.782,0.791,1.15
2023-01-08 23:00:00,14.56,496.86,1.213,1,2.66,15.39,22.06,65.52,0.129,1.012,1.081,6.82
2023-01-09 00:00:00,8.25,229.82,0.308,5,3.78,37.78,9.83,40.94,0.722,1.935,1.801,-6.93
2023-01-09 01:00:00,3.78,218.16,1.935,2,12.16,37.48,28.57,50.28,0.206,0.56,0.508,-9.29
2023-01-09 02:00:00,16.35,271.49,0.432,5,14.21,18.31,25.86,43.79,1.018,1.47,1.396,-5.03
2023-01-09 03:00:00,7.42,419.88,1.331,3,2.04,20.1,15.31,12.98,0.928,1.535,1.682,9.58
2023-01-09 04:00:00,11.29,425.21,0.566,1,7.46,42.83,5.48,67.6,0.607,0.52,0.554,6.54
2023-01-09 05:00:00,5.2,223.38,1.463,1,3.21,38.9,7.72,12.99,0.572,1.052,1.072,1.9
2023-01-09 06:00:00,10.02,123.27,1.576,4,0.9,34.42,18.71,21.57,1.087,0.765,0.831,8.63
2023-01-09 07:00:00,5.47,397.82,1.379,6,4.88,12.88,10.39,57.89,0.417,1.567,1.55,-1.08
2023-01-09 08:00:00,5.65,120.58,1.268,1,2.16,24.64,18.19,45.21,0.374,1.283,1.407,9.66
2023-01-09 09:00:00,9.92,368.17,1.796,7,10.65,29.58,26.99,59.48,1.133,1.004,0.963,-4.08
2023-01-09 10:00:00,2.05,431.38,0.249,5,8.01,16.56,24.15,38.52,0.99,1.581,1.499,-5.19
2023-01-09 11:00:00,2.15,435.34,0.729,3,2.16,25.69,13.09,29.5,1.003,0.547,0.562,2.74
2023-01-09 12:00:00,4.5,464.41,0.572,2,0.14,31.04,17.03,64.92,0.315,1.532,1.495,-2.42
2023-01-09 13:00:00,7.03,530.07,1.977,1,12.12,21.46,26.49,7.36,0.258,1.744,1.788,2.52
2023-01-09 14:00:00,15.19,324.98,0.84,2,2.64,37.33,35.13,60.65,0.129,1.769,1.7,-3.9
2023-01-09 15:00:00,7.34,451.64,1.492,1,9.09,39.42,31.36,20.0,0.361,1.589,1.626,2.33
2023-01-09 16:00:00,8.21,390.55,1.401,3,5.05,21.33,24.37,60.17,0.952,0.875,0.836,-4.46
2023-01-09 17:00:00,6.61,152.65,0.503,6,8.78,39.35,17.68,14.05,0.364,1.965,1.789,-8.96
2023-01-09 18:00:00,10.59,64.13,0.554,5,4.73,13.63,17.78,42.71,0.902,0.821,0.889,8.28
2023-01-09 19:00:00,4.05,206.5,0.634,3,1.3,39.32,35.78,62.73,0.377,1.313,1.414,7.69
2023-01-09 20:00:00,7.65,293.67,0.881,2,3.34,15.35,6.37,35.78,0.535,0.406,0.444,9.36
2023-01-09 21:00:00,11.2,389.41,0.545,1,2.82,12.9,39.58,53.53,1.181,1.963,2.048,4.33
2023-01-09 22:00:00,9.87,517.48,0.137,2,6.42,32.46,28.25,57.3,0.369,1.438,1.491,3.69
2023-01-09 23:00:00,8.41,157.94,1.771,5,9.87,26.52,28.84,52.87,0.514,1.531,1.549,1.18
2023-01-10 00:00:00,8.49,119.05,1.935,7,3.96,41.78,6.33,65.15,0.431,0.225,0.208,-7.56
2023-01-10 01:00:00,11.98,579.91,0.749,3,0.18,22.71,26.19,34.04,0.221,1.55,1.454,-6.19
2023-01-10 02:00:00,31.39,109.42,0.743,2,7.78,20.05,21.97,16.25,0.639,1.572,1.506,-4.2
2023-01-10 03:00:00,4.3,313.17,0.113,2,9.09,27.53,8.7,8.11,0.517,1.376,1.483,7.78
2023-01-10 04:00:00,31.97,372.06,1.392,5,14.44,25.96,14.73,21.02,0.864,0.655,0.612,-6.56
2023-01-10 05:00:00,4.13,347.76,1.668,7,8.84,22.05,36.16,14.31,0.999,1.03,1.117,8.45
2023-01-10 06:00:00,0.77,97.32,0.379,1,7.07,34.28,24.25,41.27,0.699,0.31,0.311,0.32
2023-01-10 07:00:00,5.38,81.36,0.403,7,8.6,36.58,19.47,17.02,0.135,0.996,1.039,4.32
2023-01-10 08:00:00,10.74,108.02,1.601,2,13.92,39.85,7.54,7.53,0.781,0.563,0.519,-7.82
2023-01-10 09:00:00,27.26,372.07,1.271,5,12.43,44.05,29.99,7.34,0.161,0.763,0.728,-4.59
2023-01-10 10:00:00,3.78,349.39,0.185,1,4.84,19.33,29.6,59.05,0.778,0.409,0.447,9.29
2023-01-10 11:00:00,11.93,178.56,1.283,7,3.56,35.06,26.49,43.44,0.854,0.537,0.512,-4.66
2023-01-10 12:00:00,2.39,400.78,0.687,7,3.94,23.8,22.86,28.28,0.318,0.245,0.235,-4.08
2023-01-10 13:00:00,26.63,501.04,0.801,7,7.57,33.7,20.18,63.12,1.001,1.848,1.736,-6.06
